Name,Link,From,To,Position,Height,Weight,Birth Date,College
1971,N/A,1978,F-C,6-8,215,"September 19, 1948",Cincinnati,N/A
2002,N/A,2012,G,6-4,191,"January 6, 1982",Arizona,N/A
2005,N/A,2022,F,6-8,215,"June 30, 1985",UCLA,N/A
1951,N/A,1962,F-G,6-4,190,"April 9, 1928",Villanova,N/A
1988,N/A,1988,F,6-9,230,"July 20, 1965",Niagara University,N/A
1990,N/A,2000,G,6-2,175,"September 9, 1967",Iowa,N/A
1957,N/A,1957,C-F,6-8,220,"June 17, 1933",Michigan State,N/A
2002,N/A,2004,G,6-5,188,"June 16, 1980",Pepperdine,N/A
1949,N/A,1951,G-F,5-11,170,"November 1, 1918",Indiana,N/A
1995,N/A,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,N/A
2007,N/A,2014,F-C,6-11,235,"November 11, 1984",UConn,N/A
1978,N/A,1979,G,6-3,175,"October 5, 1955",Duke,N/A
1956,N/A,1956,F,6-5,220,"December 30, 1933",Penn State,N/A
1964,N/A,1966,G,6-2,175,"December 19, 1938",Texas,N/A
1970,N/A,1974,F,6-5,205,"November 3, 1947",Notre Dame,N/A
2002,N/A,2011,G,6-2,202,"July 30, 1979",Florida International University,N/A
2009,N/A,2018,F,6-9,235,"March 25, 1988",Kansas,N/A
1970,N/A,1970,G,6-4,185,"August 15, 1947",Tulane,N/A
2018,N/A,2018,G-F,6-7,213,"January 12, 1993",Pitt,N/A
2011,N/A,2018,C,7-0,255,"July 4, 1986",,N/A
1988,N/A,1998,G-F,6-6,210,"February 28, 1966",Memphis,N/A
1991,N/A,1999,G-F,6-7,197,"December 15, 1967",Alabama,N/A
1954,N/A,1954,G,6-2,185,"February 15, 1928",Alliance College,N/A
1956,N/A,1958,G,6-2,190,"September 21, 1931",Indiana State University,N/A
2000,N/A,2010,G,5-11,160,"August 14, 1974",South Florida,N/A
1961,N/A,1971,G,6-0,175,"November 7, 1936",North Carolina A&T,N/A
1947,N/A,1947,G,5-10,137,"May 18, 1916",Michigan State,N/A
1992,N/A,2006,F-G,6-8,205,"August 1, 1968",UNLV,N/A
2009,N/A,2022,G,5-11,183,"November 10, 1987",Texas,N/A
2007,N/A,2008,F,6-10,235,"February 27, 1984",Illinois,N/A
1992,N/A,2002,C,6-10,255,"August 18, 1969",Arizona State,N/A
1967,N/A,1968,G,6-0,170,"August 31, 1944",Boston College,N/A
1984,N/A,1984,F,6-9,205,"July 15, 1961",Rice University,N/A
2021,N/A,2025,G-F,6-9,210,"January 3, 2001",,N/A
1993,N/A,2000,F,6-9,235,"October 18, 1969",Seton Hall,N/A
1974,N/A,1978,G,6-1,170,"July 22, 1952",Pepperdine,N/A
2000,N/A,2002,G,6-2,197,"August 8, 1979",Duke,N/A
1971,N/A,1982,C,6-10,235,"February 22, 1948",Santa Clara,N/A
2022,N/A,2022,G,6-5,180,"March 5, 2000",Gonzaga,N/A
2012,N/A,2014,C,6-10,250,"April 1, 1985",,N/A
2010,N/A,2016,F,6-9,240,"April 29, 1987",Arizona State,N/A
2019,N/A,2025,C,7-0,250,"July 23, 1998",Arizona,N/A
2007,N/A,2012,G,6-5,220,"December 16, 1983",Kentucky,N/A
2021,N/A,2024,C,6-10,280,"September 17, 1999",Kansas,N/A
2014,N/A,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State",N/A
2011,N/A,2018,F,6-9,225,"June 20, 1989",Nevada,N/A
1991,N/A,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,N/A
1949,N/A,1949,F-G,6-2,180,"July 10, 1924",Fordham,N/A
2018,N/A,2021,G,6-6,221,"August 30, 1995",Florida State,N/A
1973,N/A,1973,G,6-3,205,"July 5, 1948",Louisville,N/A
2024,N/A,2024,C,7-1,240,"October 13, 2002",,N/A
1953,N/A,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,N/A
2001,N/A,2003,C,7-1,255,"February 7, 1980",,N/A
1983,N/A,1994,G,6-0,185,"April 23, 1960",Boston College,N/A
2019,N/A,2025,F-C,6-10,235,"March 14, 1999",Duke,N/A
2024,N/A,2024,G,6-5,185,"February 17, 2004",UCLA,N/A
1982,N/A,1982,C,7-0,210,"April 23, 1958",Tuskegee University,N/A
1975,N/A,1980,G-F,6-5,185,"February 18, 1951",Texas-El Paso,N/A
1980,N/A,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,N/A
1984,N/A,1999,F-C,6-11,215,"April 7, 1961",NC State,N/A
1999,N/A,2000,G,6-6,213,"November 19, 1975",UCLA,N/A
2015,N/A,2016,F-C,6-9,250,"December 7, 1990",New Mexico,N/A
1976,N/A,1976,F,6-9,220,"December 25, 1953","UNLV, Hawaii",N/A
1999,N/A,1999,G,6-1,175,"November 11, 1969",Ohio State,N/A
2005,N/A,2005,G,6-1,175,"July 28, 1979",Oklahoma State,N/A
1947,N/A,1947,G,6-0,180,"February 17, 1923",,N/A
2017,N/A,2019,G,6-4,220,"March 30, 1993",Wichita State,N/A
1994,N/A,2006,F-C,6-11,232,"November 23, 1971",University of Hartford,N/A
2023,N/A,2025,G-F,6-9,220,"November 18, 2002",UW-Milwaukee,N/A
2017,N/A,2019,G,6-4,200,"March 29, 1996",Vanderbilt,N/A
2007,N/A,2012,F,6-8,208,"July 14, 1984",South Carolina,N/A
1991,N/A,1991,F,6-8,210,"April 16, 1968",UNC Charlotte,N/A
2021,N/A,2025,G,6-7,180,"August 22, 2001",,N/A
2018,N/A,2025,G,6-6,190,"October 27, 1997",UCLA,N/A
1978,N/A,1989,F,6-7,215,"January 29, 1955",Oregon,N/A
1947,N/A,1947,F,6-4,195,"June 21, 1921",Penn State,N/A
2019,N/A,2025,C,7-0,231,"May 12, 1998",Texas,N/A
2023,N/A,2025,F,6-10,250,"November 12, 2002",Duke,N/A
2021,N/A,2025,G,6-5,215,"June 25, 1998",TCU,N/A
1982,N/A,1987,F-G,6-7,215,"May 15, 1959",Duke,N/A
2004,N/A,2011,G,6-2,200,"November 19, 1981","Dixie State (UT), UNLV",N/A
1971,N/A,1971,C,6-10,205,"August 26, 1947",Western Kentucky,N/A
1985,N/A,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College",N/A
1974,N/A,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's,N/A
2022,N/A,2025,G-F,6-9,204,"November 7, 1999",Nebraska,N/A
2022,N/A,2022,G,6-2,190,"July 25, 1994",NC State,N/A
1957,N/A,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",N/A
2004,N/A,2017,G,6-3,194,"November 28, 1982",,N/A
1992,N/A,1996,G,6-5,190,"April 5, 1968",Illinois,N/A
2007,N/A,2020,G,5-10,180,"June 26, 1984",Northeastern University,N/A
2007,N/A,2016,F-C,7-0,245,"October 26, 1985",,N/A
1950,N/A,1952,G,6-2,185,"January 15, 1921",Kentucky,N/A
1977,N/A,1979,C-F,6-11,225,"March 11, 1955","Minnesota, College of Southern Idaho, Hawaii",N/A
1985,N/A,2000,F,6-6,252,"February 20, 1963",Auburn,N/A
2001,N/A,2002,G,6-1,177,"February 21, 1978",St. John's,N/A
1952,N/A,1955,F-C,6-6,200,"March 31, 1923",UCLA,N/A
2023,N/A,2025,F,6-9,221,"May 26, 2003",,N/A
2013,N/A,2025,F,6-8,225,"May 30, 1992",UNC,N/A
1969,N/A,1969,F,6-3,205,"July 25, 1945",Northeastern University,N/A
1965,N/A,1971,C-F,6-8,210,"April 13, 1941",Texas-El Paso,N/A
1975,N/A,1980,F-C,6-8,210,"July 27, 1952",Providence,N/A
2004,N/A,2017,F,6-7,226,"March 9, 1980",UCLA,N/A
2022,N/A,2025,G-F,6-7,227,"August 1, 2001",Florida State,N/A
1960,N/A,1974,G-F,6-4,190,"October 2, 1936",Tennessee State,N/A
1967,N/A,1977,G-F,6-4,170,"July 7, 1944",Oregon,N/A
1976,N/A,1976,G,6-3,175,"January 29, 1953",University of Akron,N/A
1963,N/A,1972,G,6-1,180,"March 20, 1938",Tennessee State,N/A
1977,N/A,1977,G,6-4,205,"July 15, 1953",Washington State,N/A
1950,N/A,1954,F-G,6-4,190,"May 11, 1924",Notre Dame,N/A
1947,N/A,1947,F,6-3,205,"August 18, 1918",Penn State,N/A
1973,N/A,1977,G,6-3,180,"October 19, 1950",Duquesne,N/A
1971,N/A,1971,G,6-4,195,"June 19, 1944",Duquesne,N/A
2005,N/A,2008,G,5-10,172,"February 21, 1982",Seton Hall,N/A
1954,N/A,1956,G-F,6-3,180,"August 27, 1929",Kansas State,N/A
1970,N/A,1973,G,6-2,155,"September 5, 1943",West Virginia Tech,N/A
2020,N/A,2025,G-F,6-6,214,"June 14, 2000",Duke,N/A
2006,N/A,2015,C,7-0,250,"August 14, 1981",Memphis,N/A
1990,N/A,2004,G,5-11,163,"April 13, 1967",Boston College,N/A
1996,N/A,2009,G,6-6,185,"December 31, 1971",Oregon State,N/A
1998,N/A,2000,G,6-5,191,"February 17, 1973",Georgia Tech,N/A
1993,N/A,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech",N/A
1966,N/A,1980,F,6-7,205,"March 28, 1944",Miami (FL),N/A
1950,N/A,1951,F,6-5,195,"October 8, 1925",NC State,N/A
1972,N/A,1972,C,7-0,230,"September 29, 1948",Oregon State,N/A
2013,N/A,2023,G,6-5,181,"January 6, 1991",Memphis,N/A
2006,N/A,2006,G,6-5,215,"February 15, 1983",UNC Charlotte,N/A
1976,N/A,1976,F,6-7,190,"November 10, 1951",Temple,N/A
2006,N/A,2017,F,6-8,250,"April 30, 1985",LSU,N/A
2022,N/A,2022,F,6-8,200,"August 29, 1995",Detroit Mercy,N/A
1974,N/A,1980,F-C,6-8,225,"April 1, 1951","College of Southern Idaho, Georgia",N/A
2022,N/A,2025,C,6-10,235,"October 28, 2000",Western Kentucky,N/A
2003,N/A,2009,F,6-9,215,"May 29, 1975",Michigan,N/A
2002,N/A,2004,C,6-11,290,"November 20, 1975",,N/A
1980,N/A,1983,G,6-4,210,"May 31, 1956",Kentucky State University,N/A
2024,N/A,2025,G,6-10,170,"January 28, 2004","Memphis, Eastern Michigan",N/A
2019,N/A,2024,F,6-8,229,"January 23, 1996",Ohio State,N/A
2006,N/A,2007,F-C,6-10,270,"September 2, 1983",,N/A
2003,N/A,2003,F,6-8,225,"November 21, 1977",Arizona State,N/A
1998,N/A,2012,C-F,6-11,230,"February 11, 1976",Texas Tech,N/A
2002,N/A,2014,F,6-8,220,"September 9, 1978",Duke,N/A
2025,N/A,2025,F,6-7,220,"May 10, 2001","George Washington, Minnesota, Ohio State",N/A
1986,N/A,1995,G,6-2,175,"November 9, 1962",Rutgers University,N/A
1990,N/A,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois",N/A
1983,N/A,1984,C,6-10,240,"March 26, 1956",Notre Dame,N/A
1975,N/A,1975,G-F,6-4,185,"May 9, 1951",Cincinnati,N/A
2009,N/A,2025,F-G,6-8,230,"December 14, 1988",,N/A
1970,N/A,1974,F,6-5,200,"June 17, 1946","Peirce College, Temple",N/A
1947,N/A,1947,G,5-10,170,"October 7, 1918",Ohio University,N/A
2003,N/A,2006,F,6-8,260,"January 27, 1979",Maryland,N/A
2009,N/A,2019,G,6-3,200,"August 20, 1988",Arizona,N/A
1959,N/A,1972,F,6-5,225,"September 16, 1934","College of Idaho, Seattle University",N/A
1968,N/A,1968,F,6-6,235,"July 28, 1942",Tennessee,N/A
2013,N/A,2021,C,6-10,260,"December 9, 1986",Washington State,N/A
1995,N/A,1995,G,6-2,168,"March 16, 1965",,N/A
2013,N/A,2022,G-F,6-4,195,"July 1, 1989",Old Dominion,N/A
2020,N/A,2024,F,6-8,208,"June 12, 2000",,N/A
1951,N/A,1951,F,6-3,200,"January 25, 1929",West Virginia,N/A
2013,N/A,2025,G,6-4,207,"June 28, 1993",Florida,N/A
1968,N/A,1968,C,6-9,200,"April 27, 1942",Norfolk State,N/A
1970,N/A,1979,G,6-3,185,"May 4, 1947",Louisville,N/A
1950,N/A,1951,G,5-10,175,"December 2, 1927",Kentucky,N/A
1968,N/A,1971,G-F,6-5,190,"September 23, 1945",SMU,N/A
2004,N/A,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota",N/A
1968,N/A,1974,F-C,6-9,225,"February 5, 1944",Texas A&M,N/A
2017,N/A,2025,G,6-4,187,"November 26, 1996",Florida State,N/A
2009,N/A,2019,F,6-9,235,"January 9, 1989",Kansas State,N/A
1963,N/A,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University,N/A
2010,N/A,2013,G,6-0,170,"February 24, 1988",,N/A
2023,N/A,2025,G,6-6,199,"October 12, 2000",Yakima Valley Community College,N/A
1968,N/A,1977,C-F,6-9,225,"January 25, 1945","Columbia Basin College, Denver",N/A
1996,N/A,1999,G,6-1,190,"May 27, 1971","South Plains College, Arkansas",N/A
1954,N/A,1961,G-F,6-4,190,"December 11, 1931",Penn,N/A
1968,N/A,1973,F,6-7,205,"January 12, 1942",Arizona State,N/A
1947,N/A,1947,G-F,6-1,185,"February 24, 1917",Duquesne,N/A
1968,N/A,1971,F,6-7,205,"June 26, 1944",Stanford,N/A
1987,N/A,1993,C,7-0,225,"December 14, 1963",Memphis,N/A
2025,N/A,2025,G,6-1,190,"October 8, 2001",Virginia,N/A
1947,N/A,1949,C-F,6-6,185,"June 2, 1916",Long Island University,N/A
1974,N/A,1980,F-C,6-9,185,"January 14, 1951",Minnesota,N/A
1952,N/A,1952,C,6-7,210,"February 3, 1929",Bradley,N/A
2008,N/A,2020,G-F,6-5,220,"March 25, 1986",,N/A
2002,N/A,2011,G,6-3,200,"March 12, 1979",Michigan State,N/A
1974,N/A,1976,F,6-5,185,"June 2, 1951",Drake University,N/A
2018,N/A,2022,F,6-8,216,"January 7, 1995",Oregon,N/A
2001,N/A,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University",N/A
2004,N/A,2004,G,6-1,180,"November 10, 1980",Boston College,N/A
1960,N/A,1961,G,6-0,180,"September 13, 1932",NC State,N/A
1962,N/A,1975,C,6-11,225,"July 24, 1939",Indiana,N/A
2017,N/A,2022,F,6-5,210,"July 4, 1994",Saint Joseph's,N/A
1954,N/A,1957,F-G,6-3,185,"November 18, 1930",Illinois,N/A
1975,N/A,1976,G,6-4,185,"July 23, 1950",Jacksonville University,N/A
2017,N/A,2020,F,7-0,225,"November 17, 1997",,N/A
2000,N/A,2010,F,6-11,202,"January 30, 1981",,N/A
2015,N/A,2015,F,6-8,245,"August 1, 1991","Georgetown, Towson University",N/A
1986,N/A,2000,C,7-0,250,"November 22, 1964",Creighton,N/A
1999,N/A,2003,G,6-6,200,"February 24, 1978",Oregon State,N/A
2014,N/A,2017,F,6-8,245,"March 14, 1993",UNLV,N/A
1995,N/A,1997,G,6-0,170,"February 13, 1970",Notre Dame,N/A
1996,N/A,2000,F,6-6,235,"August 1, 1973",Arizona State,N/A
1976,N/A,1982,F,6-7,200,"January 4, 1955",Pitt,N/A
1969,N/A,1969,G,6-3,190,"August 4, 1943",Winston-Salem State,N/A
1993,N/A,1995,G,6-0,175,"June 1, 1969",Green Bay,N/A
1990,N/A,1992,F,6-7,210,"February 9, 1965",Kentucky,N/A
1992,N/A,2001,F,6-8,220,"May 9, 1968",Alabama,N/A
2012,N/A,2012,C,6-11,240,"August 13, 1988",Oakland,N/A
1978,N/A,1988,C,6-10,235,"December 27, 1954",Indiana,N/A
2017,N/A,2017,F,6-9,235,"March 29, 1995",Providence,N/A
1950,N/A,1950,G-F,5-11,175,"November 22, 1926",Marquette,N/A
1957,N/A,1957,C,6-8,210,"July 16, 1932",Utah,N/A
1970,N/A,1970,F,6-8,210,"April 2, 1945",Weber State,N/A
2024,N/A,2024,F,6-7,210,"January 21, 2000",UCLA,N/A
1989,N/A,1989,F,6-8,205,"October 6, 1964","Oregon State, San Jose State",N/A
1987,N/A,1989,F,6-8,215,"May 14, 1964",St. John's,N/A
2019,N/A,2019,G,6-4,200,"September 9, 1989",,N/A
2017,N/A,2024,F,6-10,225,"November 12, 1992",,N/A
1979,N/A,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania,N/A
1996,N/A,2005,G,5-11,182,"July 12, 1972",Georgia Tech,N/A
2013,N/A,2024,G,6-2,180,"July 12, 1988",Arkansas,N/A
2021,N/A,2024,F,6-7,215,"April 9, 1999",Villanova,N/A
2021,N/A,2021,F,6-7,215,"February 10, 1998",Colorado,N/A
2015,N/A,2015,C,7-5,360,"December 2, 1992",New Mexico State,N/A
1968,N/A,1968,G,6-2,185,"June 8, 1945",UConn,N/A
1957,N/A,1966,G,6-3,185,"March 26, 1932",Bowling Green,N/A
1947,N/A,1947,G,5-11,175,"January 14, 1922",Assumption University,N/A
1973,N/A,1981,G,6-1,185,"November 24, 1949",UCLA,N/A
1999,N/A,2012,G,6-1,190,"May 13, 1978",Arizona,N/A
1969,N/A,1969,G,6-1,175,"August 12, 1945",NC State,N/A
2005,N/A,2014,C,6-11,240,"April 2, 1986",,N/A
1956,N/A,1956,C,6-7,240,"May 10, 1932",Valparaiso,N/A
1976,N/A,1979,F-G,6-7,215,"December 26, 1953",Penn,N/A
1975,N/A,1975,F-C,6-9,215,"August 31, 1952",Duquesne,N/A
1998,N/A,2014,G,6-3,202,"September 25, 1976",Colorado,N/A
1967,N/A,1978,G,6-3,180,"November 24, 1943",Syracuse,N/A
1987,N/A,1987,F,6-8,235,"March 26, 1961",North Carolina A&T,N/A
2018,N/A,2023,C-F,6-9,233,"September 28, 1992","Pitt, UNLV",N/A
2018,N/A,2018,G,6-6,198,"July 3, 1994",California,N/A
1959,N/A,1959,F,6-6,210,"February 2, 1935",Kentucky,N/A
